Website,Country,Studio,Publisher,PC,Mobile,VR,VR only,Console,Browser games,Launched products,Revenue,Selling from a website,Distribution platform,Payment gateway or service (for direct selling websites),Project scale assessment,Simplified classification of studios,Publisher + producing its games,Custom games + studio’s own games,Making the first game,Possibly out of business
darkdevotion.fr/,France,Hibernian Workshop,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
darkduogames.co.uk/,UK,Dark Duo Games,?,X,?,?,?,X,?,1,?,?,X,?,2,C,?,?,?,?
darklingroom.co.uk/,UK,Darkling Room,?,X,?,?,?,?,?,8,?,?,X,?,3,C,?,?,?,?
darknight-studio.co.uk/,UK,DarkNight-Studio,?,X,?,?,?,?,?,3,?,?,X,?,1,C,?,?,?,?
datcroft.com/,UK,Datcroft,?,X,X,?,?,?,X,6,?,?,X,?,8,A,?,?,?,?
davekki.com/,UK,D'Avekki Studios,?,X,?,?,?,?,?,2,?,X,X,paypal.com/,2,C,?,?,?,?
dawnofplay.com/,Slovenia,Dawn of Play,?,?,X,?,?,?,?,4,?,?,-,?,-,-,?,?,?,?
dazzle.rocks/,Finland,Dazzle rocks,?,?,X,?,?,?,?,1,?,?,-,?,-,-,?,?,?,?
deadhunters.com/,Hungary,Profondium Games,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,X,?
deadpangames.com/,UK,Deadpan Games,The Yogscast,X,?,?,?,X,?,1,?,?,X,?,2,C,?,?,?,?
deadtoast.com/,Sweden,DeadToast Entertainment,Devolver Digital,X,?,?,?,?,?,12,?,?,X,?,5,B,?,?,?,?
deathball.net/supragames/,Germany,SupraGames,?,X,?,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
deceptive-games.com/,UK,Deceptive Games,?,X,X,X,?,?,?,7,?,?,X,?,5,B,?,?,?,?
deck13.com/,Germany,Deck13 Interactive,?,X,?,?,?,X,?,17,?,?,X,?,10,A,?,?,?,?
deconstructeam.tumblr.com/games,Spain,Deconstruction team,Devolver Digital,X,?,?,?,?,X,16,?,X,X,Unknown,3,C,?,?,?,?
degenerals.com/,Poland,DeGenerals,PlayWay S.A.,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
